qname,pos.start,pos.end,domain,multi_domain,row,row.plus,annotation,category,domain.level,domain_name
reprseq039831,1,1,3555.1.1,FALSE,0.5,1,major capsid,head and packaging,T,Major capsid protein GP7
reprseq039831,2,335,multiple domains,TRUE,0.5,1,major capsid,head and packaging,T,multiple domains
reprseq039831,336,396,2485.3.1,FALSE,0.5,1,major capsid,head and packaging,T,Major capsid protein gp5
reprseq039831,397,404,undetected,FALSE,0.5,1,major capsid,head and packaging,T,undetected
reprseq067040,1,57,2485.3.1,FALSE,1.5,2,major capsid,head and packaging,T,Major capsid protein gp5
reprseq067040,58,116,multiple domains,TRUE,1.5,2,major capsid,head and packaging,T,multiple domains
reprseq067040,117,396,2485.3.1,FALSE,1.5,2,major capsid,head and packaging,T,Major capsid protein gp5
reprseq067040,397,401,undetected,FALSE,1.5,2,major capsid,head and packaging,T,undetected
reprseq082456,1,8,2485.3.1,FALSE,2.5,3,major capsid,head and packaging,T,Major capsid protein gp5
reprseq082456,9,89,2485.3.1,FALSE,2.5,3,major capsid,head and packaging,T,Major capsid protein gp5
reprseq082456,90,207,2485.3.1,FALSE,2.5,3,major capsid,head and packaging,T,Major capsid protein gp5
reprseq082456,208,315,multiple domains,TRUE,2.5,3,major capsid,head and packaging,T,multiple domains
reprseq082456,316,421,2485.3.1,FALSE,2.5,3,major capsid,head and packaging,T,Major capsid protein gp5
reprseq082456,422,422,2485.3.1,FALSE,2.5,3,major capsid,head and packaging,T,Major capsid protein gp5
reprseq082456,423,423,undetected,FALSE,2.5,3,major capsid,head and packaging,T,undetected
reprseq116937,1,1,undetected,FALSE,0.5,1,portal,head and packaging,T,undetected
reprseq116937,2,116,4038.1.1,FALSE,0.5,1,portal,head and packaging,T,Alpha-helical domain in upper collar protein
reprseq116937,117,324,multiple domains,TRUE,0.5,1,portal,head and packaging,T,multiple domains
reprseq116937,325,609,4038.1.1,FALSE,0.5,1,portal,head and packaging,T,Alpha-helical domain in upper collar protein
reprseq116937,610,694,undetected,FALSE,0.5,1,portal,head and packaging,T,undetected
reprseq037009,1,247,2004.1.1,FALSE,0.5,1,terminase large,head and packaging,T,P-loop containing nucleoside triphosphate hydrolases
reprseq037009,248,252,multiple domains,TRUE,0.5,1,terminase large,head and packaging,T,multiple domains
reprseq037009,253,259,multiple domains,TRUE,0.5,1,terminase large,head and packaging,T,multiple domains
reprseq037009,260,265,2484.1.1,FALSE,0.5,1,terminase large,head and packaging,T,Ribonuclease H-like
reprseq037009,266,453,2484.1.1,FALSE,0.5,1,terminase large,head and packaging,T,Ribonuclease H-like
reprseq037009,454,476,undetected,FALSE,0.5,1,terminase large,head and packaging,T,undetected
reprseq073628,1,4,undetected,FALSE,1.5,2,terminase large,head and packaging,T,undetected
reprseq073628,5,275,2004.1.1,FALSE,1.5,2,terminase large,head and packaging,T,P-loop containing nucleoside triphosphate hydrolases
reprseq073628,276,350,multiple domains,TRUE,1.5,2,terminase large,head and packaging,T,multiple domains
reprseq073628,351,478,2004.1.1,FALSE,1.5,2,terminase large,head and packaging,T,P-loop containing nucleoside triphosphate hydrolases
reprseq073628,479,479,2004.1.1,FALSE,1.5,2,terminase large,head and packaging,T,P-loop containing nucleoside triphosphate hydrolases
reprseq073628,480,672,2004.1.1,FALSE,1.5,2,terminase large,head and packaging,T,P-loop containing nucleoside triphosphate hydrolases
reprseq073628,673,686,multiple domains,TRUE,1.5,2,terminase large,head and packaging,T,multiple domains
reprseq073628,687,687,multiple domains,TRUE,1.5,2,terminase large,head and packaging,T,multiple domains
reprseq073628,688,693,multiple domains,TRUE,1.5,2,terminase large,head and packaging,T,multiple domains
reprseq073628,694,695,multiple domains,TRUE,1.5,2,terminase large,head and packaging,T,multiple domains
reprseq073628,696,702,multiple domains,TRUE,1.5,2,terminase large,head and packaging,T,multiple domains
reprseq073628,703,720,2484.1.1,FALSE,1.5,2,terminase large,head and packaging,T,Ribonuclease H-like
reprseq073628,721,843,2484.1.1,FALSE,1.5,2,terminase large,head and packaging,T,Ribonuclease H-like
reprseq073628,844,883,2484.1.1,FALSE,1.5,2,terminase large,head and packaging,T,Ribonuclease H-like
reprseq073628,884,889,2484.1.1,FALSE,1.5,2,terminase large,head and packaging,T,Ribonuclease H-like
reprseq073628,890,938,undetected,FALSE,1.5,2,terminase large,head and packaging,T,undetected
reprseq049360,1,123,11.24.1,FALSE,0.5,1,structural protein,head and packaging,T,N-terminal Ig-like domain in baseplate protein ORF48
reprseq049360,124,129,undetected,FALSE,0.5,1,structural protein,head and packaging,T,undetected
reprseq049360,130,188,3591.1.1,FALSE,0.5,1,structural protein,head and packaging,T,Helical linker in baseplate protein ORF48
reprseq049360,189,226,undetected,FALSE,0.5,1,structural protein,head and packaging,T,undetected
reprseq049360,227,227,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,228,228,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,229,230,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,231,231,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,232,241,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,242,244,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,245,245,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,246,490,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,491,546,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,547,547,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,548,548,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,549,549,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,550,555,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,556,556,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,557,560,207.2.1,FALSE,0.5,1,structural protein,head and packaging,T,Pectin lyase-like
reprseq049360,561,647,undetected,FALSE,0.5,1,structural protein,head and packaging,T,undetected
reprseq012085,1,1,undetected,FALSE,1.5,2,structural protein,head and packaging,T,undetected
